STORE,STATE,STORE_TYPE,AREA,COUNTRY,AVERAGE_BASKET_SIZE,NO_OF_TRANSACTIONS,AVG_BASKET_DOLLARS,TOTAL_SALES_UNITS,TOTAL_SALES_DOLLARS,Cluster
1074,NSW,KMART,Satellite City/Regional City,AUSTRALIA,4.626419,821532,35.23334302,3955732,28945318.76,2
1022,W.A,KMART,Middle Metro,AUSTRALIA,4.76117,823819,38.8764789,4155395,32027181.97,1
1275,QLD,KMART,Middle Metro,AUSTRALIA,4.937985,717326,39.09588766,3622351,28044496.71,3
1148,QLD,KMART,Satellite City/Regional City,AUSTRALIA,4.385563,1281232,33.48218131,5819144,42898442.12,2
1104,N.T,KMART,Remote,AUSTRALIA,6.093344,421301,53.16966447,2663720,22400432.81,0
1047,QLD,KMART,Middle Metro,AUSTRALIA,5.109556,700985,39.17212948,3727189,27459075.18,3
3320,W.A,K-HUB,Inner Regional,AUSTRALIA,3.950836,117208,29.65000865,417990,3475218.21,1
3340,QLD,K-HUB,Outer Regional,AUSTRALIA,4.52784,112038,32.59393333,450602,3651759.1,0
1084,NSW,KMART,Inner Metro,AUSTRALIA,4.253282,749873,31.43511884,3004441,23572346.87,3
1220,NSW,KMART,Middle Metro,AUSTRALIA,4.432812,694780,35.04430296,2956301,24348080.81,3
1290,VIC,K-HUB,Inner Regional,AUSTRALIA,4.210396,167074,36.14454219,661614,6038813.24,1
3315,QLD,K-HUB,Outer Regional,AUSTRALIA,4.375871,95801,35.18260213,364193,3370528.47,0
1141,NSW,KMART,Middle Metro,AUSTRALIA,4.071001,1006919,31.34825927,4027774,31565157.87,3
1246,NSW,KMART,Middle Metro,AUSTRALIA,4.108703,1060264,30.28546982,4377629,32110593.37,3
1231,NSW,KMART,Outer Regional,AUSTRALIA,5.635621,807799,44.5093267,4693503,35954589.6,0
1262,VIC,KMART,Outer Metro,AUSTRALIA,4.316994,742053,33.13989849,3200326,24591561.1,1
1278,W.A,KMART,Inner Metro,AUSTRALIA,4.211882,760794,33.53856758,3193613,25515940.99,1
1100,NSW,KMART,Outer Metro,AUSTRALIA,5.539519,919380,47.85681129,5506155,43998595.16,3
3345,NSW,K-HUB,Outer Regional,AUSTRALIA,4.822,123506,40.39334885,557377,4988820.94,0
1032,QLD,KMART,Satellite City/Regional City,AUSTRALIA,4.139566,1198635,31.99603834,5206377,38351571.42,2
